,Title,Publication Information,Publisher,Author,year,Abstract
326,Trafico cdmx system: using big data to improve the mobility in Mexico city,"A Pérez-Espinosa, AL Reyes-Cabello… - Proceedings of the …, 2018 - dl.acm.org",[PDF] researchgate.net,A Pérez,2018,"… in their respective web pages (see Figure 1.), and can be obtained by web scrapping. With 
this … , and Nokia Here geosocial networks by web scrapping. Reports have associated different 
… The processing server has a set of web services that defines the Trafico CDMX System. …"
327,Bengali Poem Generation Using Deep Learning Approach,"M Chy, K Amzad, M Rahman, AKM Masum… - International Conference …, 2019 - Springer",Bengali Poem Generation Using Deep Learning Approach,"M Chy, K Amzad, M Rahman, AKM Masum… ",2019,"… By scrapping using python programming language form various Bangla poem web site 
and social groups, we have collected about 30K poems containing more than 9 million words. 
For simplicity, we have just filtered out famous poems of the national poet of Bangladesh, Kazi …"
328,A comparison of ontology-based and reference-set-based semantic annotation frameworks,"Q Rajput, S Haider - Procedia Computer Science, 2011 - Elsevier",[PDF] sciencedirect.com,"Q Rajput, S Haider ",2011,"… , called Phoebus, to annotate unstructured web data sources. It exploits a collection of known 
entities and their common attributes, called reference set, to support this task. The reference 
sets for each domain is constructed via web scrapping of certain online data sources. The …"
329,[PDF][PDF] WEB STATISTICAL RETRIEVAL TOOL MONTE-CARLO METHOD SIMULATION TOOL LINEAR REGRESSION BASED PREDICTION MODEL,"D ABRAMOV, R SAKELLARIOU - 2014 - studentnet.cs.manchester.ac.uk",[PDF] manchester.ac.uk,"D ABRAMOV, R SAKELLARIOU ",2014,"… In order to collect necessary information for database, first step consisted of implementing a 
web scrapping. The major resources for web scrapping were http://www.rsssf.com/ and 
http://fussball.wettpoint.com/en/. The data on ten seasons of Italian, German and English leagues …"
330,Web 2.0: hypertext by any other name?,"DE Millard, M Ross - Proceedings of the seventeenth conference on …, 2006 - dl.acm.org",[PDF] soton.ac.uk,"DE Millard, M Ross ",2006,"Web 2.0 is the popular name of a new generation of Web applications, sites and companies 
that emphasis openness, community and interaction. Examples include technologies such 
as Blogs and Wikis, and sites such as Flickr. In this paper we compare these next generation …"
331,"[BOOK][B] Applied Financial Economics--Programming: Excel, VBA and R",CY Ko - books.google.com,[HTML] google.com,CY Ko ,,"This book is about programming for trading in financial market. We cover Excel (Part 1), Excel 
VBA (Part 2) and R (Part3) are covered. We first cover Excel that requires minimum programming 
technique, it is desirable to start learning it first. Then Excel VBA is covered to provide …"
332,Building an Alternative Web Scraper for Big Data Analytics,"K Clark, A Evert - 2019 - dc.swosu.edu",[PDF] swosu.edu,"K Clark, A Evert ",2019,"… Web scraping is no exception. For a lot of websites, web scraping can be seen as nothing 
more than a simple DDOS attack. Because of this, many sites create an API that can be 
scraped rather than their main site. These AP ls are also better equipped and much friendlier to …"
333,Popular Acronym Retrieval through Text Messaging,"P Yadav, S Pal, R Kumar, S Singh… - Proceedings of the Forum …, 2014 - dl.acm.org",Popular Acronym Retrieval through Text Messaging,"P Yadav, S Pal, R Kumar, S Singh… ",2014,"… We made use of translation and transliteration using Web application and libraries along 
the Web scrapping technique to process the need and provide the answer in native language 
using Roman script. We believe this software can be immensely useful for information …"
334,Ciberactivismo feminista. La lucha de las mujeres por la despenalización del aborto en Argentina,"M Acosta - Sphera Publica, 2018 - sphera.ucam.edu",[PDF] ucam.edu,M Acosta ,2018,"… La investigación recurre al clásico análisis de contenido combinado con el web scrapping 
(método computacional automatizado) que … The research uses the classic technique of 
content analysis, combined with web scrapping (automated computational method) that not only …"
335,MIDAS modeling for core inflation forecasting,L Libonatti - 2018 - econstor.eu,[PDF] econstor.eu,L Libonatti ,2018,"… Prices are compiled using web scrapping services provided by the private company PriceStats 
in cooperation with a finance research corporation, State Street Global Markets. This online 
price index is tested as a predictor of the monthly core inflation rate in Argentina, known as …"
336,[PDF][PDF] An overview of the TBFY knowledge graph for public procurement,"A Soylu, B Elvesæter, P Turk, D Roman, O Corcho… - 2019 - sintef.brage.unit.no",[PDF] unit.no,"A Soylu, B Elvesæter, P Turk, D Roman, O Corcho… ",2019,"… The Semantic Web … OpenOpps has gathered over 2M tender documents from more than 
300 publishers through Web scrapping and by using open APIs, while OpenCorporates currently 
has 140M entities collected from national registers. … Semantic Web 7(3), 267–293 (2016) …"
337,Some evidence on political information and exchange coupon in Brazil,BH Paulsen - 2019 - lume.ufrgs.br,[PDF] ufrgs.br,BH Paulsen ,2019,"… Our sample of news was collected via web scrapping, which we applied on a Brazilian 
news portal. We used two measures for the exchange coupon, and we utilized a GARCH 
model to estimate conditional volatility, which we filtered with both parametric and non-parametric …"
338,[HTML][HTML] Esthetic Dentistry on Twitter: Benefits and Dangers,"NA Salim, F Jubair, YM Hassona, S Izriqi… - International Journal of …, 2021 - hindawi.com",[HTML] hindawi.com,"NA Salim, F Jubair, YM Hassona, S Izriqi… ",2021,"… Using a specialized web scrapping tool made available by the Python programming 
language, a total of 54,000 public tweets were downloaded from Twitter at real-time by matching 
specific keywords. e downloaded tweets were manually filtered, and 13,787 tweets were …"
339,Web scraping: A useful tool to broaden and extend psychological research.,"F Speckmann - Zeitschrift für Psychologie, 2021 - psycnet.apa.org",[PDF] apa.org,F Speckmann ,2021,"… identifying a source of web data to test the hypothesis, focusing exclusively on web data 
and foregoing experiments. In this case, web scraping is the only method of data acquisition. 
The second approach involves exploring web data with web scraping to generate hypotheses …"
340,[CITATION][C] Automated Extraction of Multiple News,"A Ullah, A Riaz, SA Khan - 2021 - Department of Computer science …",A Ullah,"A Ullah, A Riaz, SA Khan ",2021,
341,"Relationships between classical factors, social factors and box office collections","V Biramane, H Kulkarni, A Bhave… - … Conference on Internet …, 2016 - ieeexplore.ieee.org","Relationships between classical factors, social factors and box office collections","V Biramane, H Kulkarni, A Bhave… ",2016,"… So first of all we gathered movie titles with their worldwide grosses from Box Office Mojo 
website by web scrapping. These movie titles are used to query websites such as IMDb and 
Rotten Tomatoes to obtain various classical attributes such Cast, Director, Movie studio, Genre, …"
342,Sentiment analysis using Naive Bayes Algorithm of the data crawler: Twitter,"M Wongkar, A Angdresey - 2019 Fourth International …, 2019 - ieeexplore.ieee.org",[PDF] researchgate.net,"M Wongkar, A Angdresey ","2019, 2019","… While in paper [9], the collection process data used web scrapping techniques to retrieve 
data from twitter and then save it to the database. Then in the data processing, the author 
performs duplicate tweets filtering which functions to delete repeated tweets, folding cases to …"
343,Ship Scrapping-a Floating Scenario,"KKN Arleth, E Krogstrup - 2006 - agris.fao.org",Ship Scrapping-a Floating Scenario,"KKN Arleth, E Krogstrup ",2006,"… This thesis examines the upcoming process of developing internationally binding rules for ship 
scrapping. By use of the topical … web sites). The case study is used to create an operational 
platform from which the political complexities of international regulation of ship scrapping …"
344,[CITATION][C] Regression basedStock Market Prediction,"S Chaudhary, V Arora, VBP Singh",Save,"S Chaudhary, V Arora, VBP Singh",,
345,[PDF][PDF] Sindikasi Web menggunakan Teknik Web Scrapping untuk Kolaborasi Pemasaran UMKM Handicraft,"S Mulyani, FA Sutanto, H Yulianton - Dinamik, 2016 - unisbank.ac.id",[PDF] unisbank.ac.id,"S Mulyani, FA Sutanto, H Yulianton ",2016,"… Teknik Scrapping berkaitan erat dengan pengindekan web yang sudah umum dilakukan 
oleh bot atau web crawler. Tetapi web scrapping lebih berfokus pada transformasi data tidak 
terstruktur di web, biasanya dalam format HTML, menjadi data terstruktur yang dapat disimpan …"
346,Prediction of Customer Purchase Intention Using Linear Support Vector Machine in Digital Marketing,"G Saranya, N Gopinath, G Geetha… - Journal of Physics …, 2020 - iopscience.iop.org",[PDF] iop.org,"G Saranya, N Gopinath, G Geetha… ",2020,"… We used data miner tool for web crawling or web scraping product details from various e-commerce 
sites like Amazon, Flipkart, Jabong, Myntra etc. Web scraping is an … Figure 2 shows the 
conversion of unstructured data to structure from web pages using Web scrapping. …"
347,Detection of Clickjacking Attacks using the Extreme Learning Machine algorithm,Y Patil - 2020 - norma.ncirl.ie,[PDF] ncirl.ie,Y Patil ,2020,"… Web Scrapping is a technology that is used for extracting the content from the websites. It is 
also known as the Web data extraction, Web harvesting and Web data scrapping. … Once we 
have all the hyperlinks of the HTML (obtained from web scrapping) we can then extract the …"
